tblUploadID,tblHaulID,tblPredatorInformationID,tblPreyInformationID,Ship,Gear,HaulNo,StationNumber,Year,Month,Day,Time,FishID,AphiaIDPredator,AphiaIDPrey,IdentMet,DigestionStage,GravMethod,SubFactor,PreySequence,Count,UnitWgt,Weight,UnitLngt,Length,OtherItems,OtherCount,OtherWgt,AnalysingOrg,Notes
8540,21257,170252,273244,260000,TV3,2,17,2016,3,5,0715,7263781,126436,NA,NA,NA,WETWT,1,27,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21259,170275,273245,260000,TV3,6,33,2016,3,6,0815,7264075,126436,11676,NA,2,WETWT,1,63,1,g,0.54,mm,112,NA,NA,NA,2195,NA
8540,21259,170275,273246,260000,TV3,6,33,2016,3,6,0815,7264075,126436,11676,NA,2,WETWT,1,64,1,g,0.16,mm,70,NA,NA,NA,2195,NA
8540,21259,170275,273247,260000,TV3,6,33,2016,3,6,0815,7264075,126436,11676,NA,1,WETWT,1,65,1,g,0.7,mm,70,NA,NA,NA,2195,NA
8540,21259,170275,273248,260000,TV3,6,33,2016,3,6,0815,7264075,126436,125464,NA,1,WETWT,1,66,1,g,9.8,mm,88,NA,NA,NA,2195,NA
8540,21259,170275,273249,260000,TV3,6,33,2016,3,6,0815,7264075,126436,11676,NA,1,WETWT,1,67,1,g,4.25,mm,110,NA,NA,NA,2195,NA
8540,21259,170275,273250,260000,TV3,6,33,2016,3,6,0815,7264075,126436,11676,NA,NA,WETWT,1,68,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21259,170277,273251,260000,TV3,6,33,2016,3,6,0815,7264077,126436,NA,NA,NA,WETWT,1,69,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21259,170281,273252,260000,TV3,6,33,2016,3,6,0815,7264081,126436,126425,NA,0,WETWT,1,72,1,g,11.12,mm,114,NA,NA,NA,2195,NA
8540,21259,170281,273253,260000,TV3,6,33,2016,3,6,0815,7264081,126436,NA,NA,NA,WETWT,1,73,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21259,170281,273254,260000,TV3,6,33,2016,3,6,0815,7264081,126436,126425,NA,1,WETWT,1,74,1,g,11.61,mm,110,NA,NA,NA,2195,NA
8540,21259,170285,273255,260000,TV3,6,33,2016,3,6,0815,7264085,126436,126425,NA,1,WETWT,1,76,1,g,4.73,mm,84,NA,NA,NA,2195,oto
8540,21259,170285,273256,260000,TV3,6,33,2016,3,6,0815,7264085,126436,11676,NA,2,WETWT,1,77,1,g,0.13,mm,75,NA,NA,NA,2195,NA
8540,21259,170285,273257,260000,TV3,6,33,2016,3,6,0815,7264085,126436,NA,NA,NA,WETWT,1,78,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21259,170291,273258,260000,TV3,6,33,2016,3,6,0815,7264091,126436,293511,NA,NA,WETWT,1,86,1,g,1.8,NA,NA,NA,NA,NA,2195,NA
8540,21259,170295,273259,260000,TV3,6,33,2016,3,6,0815,7264095,126436,NA,NA,NA,WETWT,1,89,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21259,170303,273260,260000,TV3,6,33,2016,3,6,0815,7264106,126436,NA,NA,NA,WETWT,1,99,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21259,170303,273261,260000,TV3,6,33,2016,3,6,0815,7264106,126436,NA,NA,NA,WETWT,1,100,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21259,170306,273262,260000,TV3,6,33,2016,3,6,0815,7264109,126436,11676,NA,2,WETWT,1,105,1,g,0.12,NA,NA,NA,NA,NA,2195,NA
8540,21259,170306,273263,260000,TV3,6,33,2016,3,6,0815,7264109,126436,126425,NA,0,WETWT,1,106,1,g,16.79,mm,132,NA,NA,NA,2195,NA
8540,21228,170324,273264,260000,TV3,8,37,2016,3,6,1455,7264436,126436,NA,NA,NA,WETWT,1,149,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21228,170327,273265,260000,TV3,8,37,2016,3,6,1455,7264439,126436,NA,NA,NA,WETWT,1,154,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21228,170330,273266,260000,TV3,8,37,2016,3,6,1455,7264442,126436,11676,NA,NA,WETWT,1,160,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21228,170330,273267,260000,TV3,8,37,2016,3,6,1455,7264442,126436,126425,NA,0,WETWT,1,161,1,g,11.03,mm,120,NA,NA,NA,2195,NA
8540,21228,170330,273268,260000,TV3,8,37,2016,3,6,1455,7264442,126436,11676,NA,2,WETWT,1,162,1,g,0.19,mm,72,NA,NA,NA,2195,NA
8540,21228,170336,273269,260000,TV3,8,37,2016,3,6,1455,7264448,126436,NA,NA,NA,WETWT,1,173,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21228,170336,273270,260000,TV3,8,37,2016,3,6,1455,7264448,126436,126425,NA,1,WETWT,1,174,1,g,5.77,mm,88,NA,NA,NA,2195,oto
8540,21229,170363,273271,260000,TV3,9,51,2016,3,7,0452,7264510,126436,NA,NA,NA,WETWT,1,219,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21230,170385,273272,260000,TV3,10,53,2016,3,7,0653,7264664,126436,NA,NA,NA,WETWT,1,256,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21225,170391,273273,260000,TV3,11,55,2016,3,7,0915,7264795,126436,11676,NA,NA,WETWT,1,268,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21225,170391,273274,260000,TV3,11,55,2016,3,7,0915,7264795,126436,126450,NA,1,WETWT,1,269,1,g,14.94,mm,134,NA,NA,NA,2195,oto
8540,21257,170247,273275,260000,TV3,2,17,2016,3,5,0715,7263775,126436,126425,NA,1,WETWT,1,16,1,g,8.5,mm,80,NA,NA,NA,2195,oto
8540,21257,170247,273276,260000,TV3,2,17,2016,3,5,0715,7263775,126436,NA,NA,NA,WETWT,1,17,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21257,170249,273277,260000,TV3,2,17,2016,3,5,0715,7263777,126436,11676,NA,2,WETWT,1,20,1,g,2.07,mm,138,NA,NA,NA,2195,NA
8540,21257,170249,273278,260000,TV3,2,17,2016,3,5,0715,7263777,126436,11676,NA,NA,WETWT,1,21,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21257,170249,273279,260000,TV3,2,17,2016,3,5,0715,7263777,126436,11676,NA,2,WETWT,1,22,1,g,0.69,mm,122,NA,NA,NA,2195,NA
8540,21257,170254,273280,260000,TV3,2,17,2016,3,5,0715,7263783,126436,NA,NA,NA,WETWT,1,29,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21257,170262,273281,260000,TV3,2,17,2016,3,5,0715,7263791,126436,11676,NA,NA,WETWT,1,38,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21257,170262,273282,260000,TV3,2,17,2016,3,5,0715,7263791,126436,11676,NA,1,WETWT,1,39,1,g,0.94,mm,72,NA,NA,NA,2195,NA
8540,21257,170262,273283,260000,TV3,2,17,2016,3,5,0715,7263791,126436,126425,NA,0,WETWT,1,40,1,g,11.35,mm,115,NA,NA,NA,2195,NA
8540,21258,170269,273284,260000,TV3,3,19,2016,3,5,0952,7263990,126436,NA,NA,NA,WETWT,1,55,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21258,170272,273285,260000,TV3,3,19,2016,3,5,0952,7263993,126436,NA,NA,NA,WETWT,1,58,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21259,170298,273286,260000,TV3,6,33,2016,3,6,0815,7264098,126436,1137,NA,NA,WETWT,1,91,29,g,0.57,NA,NA,NA,NA,NA,2195,NA
8540,21259,170300,273287,260000,TV3,6,33,2016,3,6,0815,7264100,126436,NA,NA,NA,WETWT,1,93,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21259,170302,273288,260000,TV3,6,33,2016,3,6,0815,7264104,126436,1137,NA,NA,WETWT,1,98,23,g,0.57,NA,NA,NA,NA,NA,2195,NA
8540,21259,170313,273289,260000,TV3,6,33,2016,3,6,0815,7264117,126436,293511,NA,NA,WETWT,1,118,4,g,16.89,NA,NA,NA,NA,NA,2195,NA
8540,21228,170317,273290,260000,TV3,8,37,2016,3,6,1455,7264429,126436,NA,NA,NA,WETWT,1,126,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21228,170321,273291,260000,TV3,8,37,2016,3,6,1455,7264433,126436,126425,NA,1,WETWT,1,141,1,g,6.1,mm,83,NA,NA,NA,2195,oto
8540,21228,170321,273292,260000,TV3,8,37,2016,3,6,1455,7264433,126436,11676,NA,NA,WETWT,1,142,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21228,170321,273293,260000,TV3,8,37,2016,3,6,1455,7264433,126436,126417,NA,1,WETWT,1,143,1,g,2.62,mm,73,NA,NA,NA,2195,oto
8540,21228,170329,273294,260000,TV3,8,37,2016,3,6,1455,7264441,126436,NA,NA,NA,WETWT,1,159,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21228,170333,273295,260000,TV3,8,37,2016,3,6,1455,7264445,126436,11676,NA,NA,WETWT,1,165,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21228,170333,273296,260000,TV3,8,37,2016,3,6,1455,7264445,126436,126417,NA,1,WETWT,1,166,1,g,73.63,mm,225,NA,NA,NA,2195,oto
8540,21228,170333,273297,260000,TV3,8,37,2016,3,6,1455,7264445,126436,11676,NA,2,WETWT,1,167,1,g,0.24,mm,68,NA,NA,NA,2195,NA
8540,21228,170333,273298,260000,TV3,8,37,2016,3,6,1455,7264445,126436,11676,NA,2,WETWT,1,168,1,g,0.33,mm,90,NA,NA,NA,2195,NA
8540,21228,170333,273299,260000,TV3,8,37,2016,3,6,1455,7264445,126436,11676,NA,1,WETWT,1,169,1,g,3.87,mm,123,NA,NA,NA,2195,NA
8540,21228,170333,273300,260000,TV3,8,37,2016,3,6,1455,7264445,126436,11676,NA,2,WETWT,1,170,1,g,0.52,mm,120,NA,NA,NA,2195,NA
8540,21228,170335,273301,260000,TV3,8,37,2016,3,6,1455,7264447,126436,NA,NA,NA,WETWT,1,172,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21228,170342,273302,260000,TV3,8,37,2016,3,6,1455,7264454,126436,NA,NA,NA,WETWT,1,180,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21228,170347,273303,260000,TV3,8,37,2016,3,6,1455,7264460,126436,149668,NA,NA,WETWT,1,186,19,g,1.25,NA,NA,NA,NA,NA,2195,NA
8540,21229,170348,273304,260000,TV3,9,51,2016,3,7,0452,7264495,126436,NA,NA,NA,WETWT,1,187,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21229,170371,273305,260000,TV3,9,51,2016,3,7,0452,7264518,126436,NA,NA,NA,WETWT,1,231,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21257,170255,273306,260000,TV3,2,17,2016,3,5,0715,7263784,126436,NA,NA,NA,WETWT,1,30,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21257,170261,273307,260000,TV3,2,17,2016,3,5,0715,7263790,126436,11676,NA,2,WETWT,1,36,1,g,0.24,mm,71,NA,NA,NA,2195,NA
8540,21257,170261,273308,260000,TV3,2,17,2016,3,5,0715,7263790,126436,11676,NA,NA,WETWT,1,37,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21257,170263,273309,260000,TV3,2,17,2016,3,5,0715,7263793,126436,11676,NA,1,WETWT,1,41,1,g,1.43,mm,50,NA,NA,NA,2195,NA
8540,21257,170263,273310,260000,TV3,2,17,2016,3,5,0715,7263793,126436,126425,NA,1,WETWT,1,42,1,g,2.95,mm,78,NA,NA,NA,2195,NA
8540,21257,170263,273311,260000,TV3,2,17,2016,3,5,0715,7263793,126436,126425,NA,1,WETWT,1,43,1,g,6.58,mm,76,NA,NA,NA,2195,NA
8540,21257,170263,273312,260000,TV3,2,17,2016,3,5,0715,7263793,126436,11676,NA,NA,WETWT,1,44,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21257,170263,273313,260000,TV3,2,17,2016,3,5,0715,7263793,126436,11676,NA,NA,WETWT,1,45,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21257,170263,273314,260000,TV3,2,17,2016,3,5,0715,7263793,126436,11676,NA,2,WETWT,1,46,1,g,0.24,mm,90,NA,NA,NA,2195,NA
8540,21257,170263,273315,260000,TV3,2,17,2016,3,5,0715,7263793,126436,125464,NA,1,WETWT,1,47,1,g,4.09,mm,68,NA,NA,NA,2195,NA
8540,21257,170263,273316,260000,TV3,2,17,2016,3,5,0715,7263793,126436,126425,NA,1,WETWT,1,48,1,g,6.96,mm,80,NA,NA,NA,2195,NA
8540,21257,170263,273317,260000,TV3,2,17,2016,3,5,0715,7263793,126436,126425,NA,1,WETWT,1,49,1,g,2.39,mm,65,NA,NA,NA,2195,NA
8540,21259,170284,273318,260000,TV3,6,33,2016,3,6,0815,7264084,126436,NA,NA,NA,WETWT,1,75,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21259,170292,273319,260000,TV3,6,33,2016,3,6,0815,7264092,126436,NA,NA,NA,WETWT,1,87,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21259,170314,273320,260000,TV3,6,33,2016,3,6,0815,7264120,126436,NA,NA,NA,WETWT,1,119,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21228,170326,273321,260000,TV3,8,37,2016,3,6,1455,7264438,126436,NA,NA,NA,WETWT,1,153,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21228,170339,273322,260000,TV3,8,37,2016,3,6,1455,7264451,126436,NA,NA,NA,WETWT,1,177,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21228,170343,273323,260000,TV3,8,37,2016,3,6,1455,7264455,126436,NA,NA,NA,WETWT,1,181,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21229,170355,273324,260000,TV3,9,51,2016,3,7,0452,7264502,126436,NA,NA,NA,WETWT,1,207,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21229,170360,273325,260000,TV3,9,51,2016,3,7,0452,7264507,126436,126425,NA,1,WETWT,1,210,1,g,7.67,mm,85,NA,NA,NA,2195,NA
8540,21229,170360,273326,260000,TV3,9,51,2016,3,7,0452,7264507,126436,126425,NA,1,WETWT,1,211,1,g,3.18,mm,65,NA,NA,NA,2195,NA
8540,21229,170360,273327,260000,TV3,9,51,2016,3,7,0452,7264507,126436,126425,NA,1,WETWT,1,212,1,g,2.86,mm,82,NA,NA,NA,2195,NA
8540,21229,170360,273328,260000,TV3,9,51,2016,3,7,0452,7264507,126436,11676,NA,1,WETWT,1,213,1,g,1.96,mm,65,NA,NA,NA,2195,NA
8540,21229,170360,273329,260000,TV3,9,51,2016,3,7,0452,7264507,126436,11676,NA,1,WETWT,1,214,1,g,1.56,mm,62,NA,NA,NA,2195,NA
8540,21229,170360,273330,260000,TV3,9,51,2016,3,7,0452,7264507,126436,NA,NA,NA,WETWT,1,215,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21229,170372,273331,260000,TV3,9,51,2016,3,7,0452,7264519,126436,NA,NA,NA,WETWT,1,232,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21230,170381,273332,260000,TV3,10,53,2016,3,7,0653,7264660,126436,NA,NA,NA,WETWT,1,240,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21230,170381,273333,260000,TV3,10,53,2016,3,7,0653,7264660,126436,126425,NA,0,WETWT,1,241,1,g,11.88,mm,124,NA,NA,NA,2195,NA
8540,21230,170381,273334,260000,TV3,10,53,2016,3,7,0653,7264660,126436,126425,NA,0,WETWT,1,242,1,g,15.25,mm,130,NA,NA,NA,2195,NA
8540,21230,170381,273335,260000,TV3,10,53,2016,3,7,0653,7264660,126436,126425,NA,1,WETWT,1,243,1,g,6.02,mm,86,NA,NA,NA,2195,NA
8540,21230,170381,273336,260000,TV3,10,53,2016,3,7,0653,7264660,126436,126425,NA,1,WETWT,1,244,1,g,3.49,mm,75,NA,NA,NA,2195,NA
8540,21257,170248,273337,260000,TV3,2,17,2016,3,5,0715,7263776,126436,125464,NA,1,WETWT,1,18,1,g,9.02,mm,118,NA,NA,NA,2195,NA
8540,21257,170248,273338,260000,TV3,2,17,2016,3,5,0715,7263776,126436,11676,NA,NA,WETWT,1,19,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
8540,21257,170250,273339,260000,TV3,2,17,2016,3,5,0715,7263779,126436,125464,NA,1,WETWT,1,23,1,g,4.04,mm,70,NA,NA,NA,2195,NA
8540,21257,170250,273340,260000,TV3,2,17,2016,3,5,0715,7263779,126436,NA,NA,NA,WETWT,1,24,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA
