tblUploadID,tblHaulID,Ship,Gear,HaulNo,StationNumber,Year,Month,Day,Time,ShootLat,ShootLong,HaulLat,HaulLong,ICESrectangle,Depth,Survey,ICESDatabase,Notes
8537,21123,26HF,GOV,8,35,2022,2,3,0713,54.9759,6.6147,54.9677,6.5574,38F6,44,IBTS,Y,NA
8537,21131,26HF,GOV,27,107,2022,2,13,1241,56.6024,6.8311,56.5947,6.8906,42F6,45,IBTS,Y,NA
8346,7298,11BU,BMT,27,NA,2022,11,15,2318,51.5223,2.423,51.5993,2.5192,32F2,NA,NA,N,NA
11679,28501,06NI,GOV,1,452,2022,7,21,0712,53.7418,5.602,53.7418,5.602,36F5,29,G2829,Y,NA
8537,21120,26HF,GOV,14,62,2022,2,8,0723,55.3965,-1.1778,55.3676,-1.149,39E8,90,IBTS,Y,NA
8526,20838,26D4,GOV,4,11,2022,8,17,0952,57.2927,8.4792,57.3237,8.5022,43F8,30,IBTS,Y,wing dist 21m. Stationen er overført fra SIS.
8526,20817,26D4,GOV,29,93,2022,8,25,0600,54.1756,5.2538,54.1526,5.2135,37F5,42,IBTS,Y,Stationen er overført fra SIS.
12690,29807,77SE,GOV,4,7,2022,1,21,1258,57.9816,9.8748,57.9645,9.825,44F9,102,IBTS,Y,24 N Hirtshals.0040Height o opening diffar ngt  se sensors orsak oklar
12690,29804,77SE,GOV,12,18,2022,1,24,1251,57.6364,8.8184,57.6138,8.7756,44F8,81,IBTS,Y,NA
9620,24550,64T2,GOV,21,Inf,2022,2,7,1542,52.6544,3.3253,52.6544,3.3253,34F3,NA,IBTS,Y,NA
12693,29865,77U3,TV3,3,3,2022,10,31,1402,55.7619,12.8822,55.7745,12.875,40G2,18,SSS,Y,NA
12692,29854,77U3,TV3,2,2,2022,3,14,1230,55.9388,12.6966,55.9535,12.6939,40G2,30,SSS,Y,NA
8537,21121,26HF,GOV,15,63,2022,2,8,0949,55.5593,-0.8146,55.5923,-0.8045,40E9,96,IBTS,Y,NA
12700,30013,77SE,GOV,40,176,2022,8,30,1130,56.8181,12.2157,56.8437,12.2461,42G2,39,IBTS,Y,Shoot: Svereg_note: SW Morups bank.0633
12700,30024,77SE,GOV,15,150,2022,8,24,1033,57.7201,10.0838,57.7149,10.0279,44G0,48,IBTS,Y,Svereg_note: 3 NW Skagbanken.0606 Svereg_note: 3 NW Skagbanken.0606
8537,21112,26HF,GOV,12,50,2022,2,7,0933,54.4262,0.2981,54.4397,0.35,37F0,66,IBTS,Y,NA
12690,29817,77SE,GOV,37,47,2022,2,2,1407,58.3201,10.9963,58.293,10.9689,45G0,109,IBTS,Y,Med skärplan  dålig öppning igen. Hade inte tid att sätta om  hoppades på att nå Sörgrund men fick g
9620,24552,64T2,GOV,3,Inf,2022,1,25,0721,53.9366,7.3038,53.9366,7.3038,36F7,NA,IBTS,Y,NA
12700,29991,77SE,GOV,18,154,2022,8,25,0720,57.1015,7.3139,57.094,7.2546,43F7,35,IBTS,Y,Shoot: Svereg_note: 427.0610
8537,21133,26HF,GOV,3,5,2022,1,28,1214,57.4574,8.5967,57.4538,8.5358,43F8,53,IBTS,Y,NA
8526,20830,26D4,GOV,1,2,2022,1,28,0715,57.7409,9.1737,57.7261,9.1737,44F9,88,IBTS,Y,NA
12690,29805,77SE,GOV,13,19,2022,1,24,1503,57.783,8.7849,57.763,8.742,44F8,214,IBTS,Y,NA
8537,21122,26HF,GOV,4,7,2022,1,28,1522,57.4613,7.9535,57.4418,7.9092,43F7,136,IBTS,Y,NA
12690,29806,77SE,GOV,5,10,2022,1,22,1342,57.0447,7.2038,57.0688,7.2207,43F7,35,IBTS,Y,NA
8526,20819,26D4,GOV,19,55,2022,8,21,1246,55.2409,0.744,55.2102,0.7185,39F0,75,IBTS,Y,wing dist 21m. Stationen er overført fra SIS.
8526,20806,26D4,GOV,27,85,2022,8,24,1232,55.2541,7.6235,55.2787,7.5846,39F7,24,IBTS,Y,wing dist 20m. Stationen er overført fra SIS.
11678,28493,06NI,GOV,8,90,2022,2,10,1307,54.876,7.7847,54.876,7.7847,38F7,20,G1022,Y,NA
8526,20795,26D4,GOV,32,103,2022,8,26,0229,53.2398,4.2007,53.2246,4.2123,35F4,30,IBTS,Y,wing dist 19m. Stationen er overført fra SIS.
12690,29827,77SE,GOV,17,23,2022,1,26,0724,57.1799,11.4471,57.1505,11.4534,43G1,69,IBTS,Y,NA
12692,29862,77U3,TV3,10,11,2022,3,16,1328,55.8204,12.7876,55.8313,12.7683,40G2,27,SSS,Y,inga sensorer  uppskattat värde
12700,30009,77SE,GOV,31,167,2022,8,28,0743,56.9544,11.6602,56.9325,11.6848,42G1,55,IBTS,Y,kortat 5 min pga mkt fisk på lodet Svereg_note: Sanden.0623
11679,28508,06NI,GOV,7,457,2022,8,6,1500,54.327,7.2593,54.327,7.2593,37F7,43,G2829,Y,NA
9620,24541,64T2,GOV,12,Inf,2022,1,27,1030,53.95,5.2046,53.95,5.2046,36F5,NA,IBTS,Y,NA
8526,20808,26D4,FOT,21,89,2022,6,14,0743,56.1702,-0.7284,56.1841,-0.7872,41E9,74,MEGS22,Y,wing dist: 37 meter. Stationen er overført fra SIS.
12690,29826,77SE,GOV,31,38,2022,1,31,1535,57.458,10.863,57.4428,10.8362,43G0,40,IBTS,Y,Trassel vid sättning. Halet kortades pga solnedgång 1641.
12693,29869,77U3,TV3,7,7,2022,11,8,0743,55.8336,12.7669,55.8226,12.7846,40G2,20,SSS,Y,NA
12700,30006,77SE,GOV,36,172,2022,8,29,1201,56.3535,11.8947,56.3484,11.9491,41G1,32,IBTS,Y,Svereg_note: 6 NE Lysegrund.0629
9620,24540,64T2,GOV,13,Inf,2022,1,27,1251,53.9133,4.8983,53.9133,4.8983,36F4,NA,IBTS,Y,NA
12700,30035,77SE,GOV,26,162,2022,8,27,0529,58.026,9.6854,58.037,9.7396,45F9,234,IBTS,Y,Touchdown: Svereg_note: Danadraget.0618
9620,24551,64T2,GOV,2,Inf,2022,1,24,1502,52.6691,4.3703,52.6941,4.3916,34F4,NA,IBTS,Y,NA
12700,29998,77SE,GOV,25,161,2022,8,26,1352,57.487,9.0885,57.4868,9.1452,43F9,24,IBTS,Y,Shoot: Svereg_note: 19 WNW Lökken.0617
8526,20797,26D4,GOV,50,154,2022,8,30,1013,53.9545,1.2856,53.978,1.2704,36F1,39,IBTS,Y,Stationen er overført fra SIS.
12690,29837,77SE,GOV,2,4,2022,1,20,1507,58.5436,10.8473,58.5255,10.8439,46G0,89,IBTS,Y,5 W Väderöarna.0033. Kortat pga tidsbrist.
9620,24562,64T2,GOV,40,4e+141,2022,2,16,0722,55.6131,1.3088,55.6131,1.3088,40F1,NA,IBTS,Y,NA
12690,29816,77SE,GOV,36,46,2022,2,2,1202,58.3294,10.848,58.3601,10.8465,45G0,133,IBTS,Y,Kulor istället för skärplan. Hade så mkt strul föregående hal så jag hade inte råd att chansa.
8537,21132,26HF,GOV,26,104,2022,2,13,0918,56.584,7.1839,56.6131,7.2103,42F7,37,IBTS,Y,NA
8526,20789,26D4,GOV,43,132,2022,8,28,1007,52.6088,2.4971,52.5961,2.4571,34F2,49,IBTS,Y,wing dist 20m. Stationen er overført fra SIS.
8526,20847,26D4,GOV,9,29,2022,8,19,0240,56.1835,6.6029,56.1826,6.5433,41F6,41,IBTS,Y,Stationen er overført fra SIS. Ingen wingebredde oplyst.
8526,20841,26D4,GOV,53,164,2022,8,31,0639,53.9399,2.4062,53.9266,2.4569,36F2,39,IBTS,Y,wing dist 21m. Stationen er overført fra SIS.
8526,20810,26D4,GOV,56,174,2022,9,1,1001,57.6728,4.7257,57.7066,4.7337,44F4,88,IBTS,Y,Stationen er overført fra SIS.
12692,29858,77U3,TV3,6,6,2022,3,15,0818,55.822,12.7092,55.8077,12.7213,40G2,22,SSS,Y,Inga sensorer  uppskattade värden. 0 5kg sjöborre
12690,29836,77SE,GOV,1,2,2022,1,20,1102,58.6317,10.8396,58.6612,10.8243,46G0,82,IBTS,Y,ss
12700,30004,77SE,GOV,28,164,2022,8,27,0946,58.1279,10.3128,58.1201,10.369,45G0,160,IBTS,Y,Shoot: Svereg_note: 24 5 NNW Skagen.0620
8526,20815,26D4,GOV,55,168,2022,8,31,1210,54.1319,2.9674,54.1394,2.9123,37F2,46,IBTS,Y,wing dist 21m. Stationen er overført fra SIS.
12693,29868,77U3,TV3,6,6,2022,11,1,1431,55.961,12.6735,55.9471,12.6674,40G2,22,SSS,Y,NA
12690,29814,77SE,GOV,8,13,2022,1,23,1141,57.1505,6.2417,57.1303,6.2912,43F6,65,IBTS,Y,NA
9620,24558,64T2,GOV,38,3.8e+139,2022,2,15,1327,54.5799,1.774,54.5799,1.774,38F1,NA,IBTS,Y,NA
8526,20852,26D4,FOT,32,138,2022,6,18,0443,57.2819,5.0895,57.2256,5.1249,43F5,55,MEGS22,Y,wing dist: 34 m. Stationen er overført fra SIS.
12700,29995,77SE,GOV,17,153,2022,8,25,0516,56.9292,7.0795,56.9573,7.1107,42F7,32,IBTS,Y,Home: Svereg_note: 42F71 (362).0609 Svereg_note: 42F71 (362).0609 Svereg_note: 42F71 (362).0609
8526,20836,26D4,GOV,7,20,2022,8,18,1002,56.305,7.2453,56.3053,7.1859,41F7,32,IBTS,Y,Stationen er overført fra SIS.
11679,28524,06NI,GOV,30,480,2022,8,14,1043,54.6442,6.864,54.6442,6.864,38F6,39,G2829,Y,NA
8526,20799,26D4,GOV,30,94,2022,8,25,0848,54.1544,4.6273,54.1799,4.5941,37F4,47,IBTS,Y,Stationen er overført fra SIS.
12690,29810,77SE,GOV,6,11,2022,1,22,1519,56.9633,7.2567,56.929,7.2495,42F7,32,IBTS,Y,Nordsjön42F7.0047
12700,29994,77SE,GOV,16,151,2022,8,24,1313,57.705,9.5796,57.6938,9.5265,44F9,30,IBTS,Y,Shoot: Svereg_note: 14 WNW Hirtshals.0607
8537,21117,26HF,GOV,21,82,2022,2,9,1447,54.9119,4.1246,54.8798,4.141,38F4,49,IBTS,Y,NA
9620,24547,64T2,GOV,43,4.1e+44,2022,2,16,1546,56.222,0.5083,56.222,0.5083,41F0,NA,IBTS,Y,NA
8537,21128,26HF,GOV,22,88,2022,2,10,0950,56.057,7.1447,56.0613,7.203,41F7,30,IBTS,Y,NA
